ID	center_name	center_inform	center_intro	center_program
18	희망지역아동센터	광주광역시 남구 진다리로31번길 13 백운동 062-653-2313 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:30 ~ 18:30 토요일 : ~	① 설립목적  지역사회 내에서 보호를 필요로 하는 만 18세 미만 아동(기초생활수급보장, 차상위, 한부모, 조손, 다자녀, 다문화, 맞벌이가정)을 대상으로 지역사회 아동의 건전한 사회적ㆍ정서적 발달을 도모하며 학업성취 능력향상의 기회를 제공하고 안전한 보호, 질 높은 복지와 교육의 장, 건전한 놀이와 오락의 제공, 보호자 및 가족 전체와 지역사회의 연계 등 아동이 건강한 사회 구성원으로 성장하도록 돕는 통합적ㆍ종합적인 아동보호 서비스를 제공하는 데 있다.  ② 주요연혁  - 2003. 05. 05. 희망 공부방 설립(운영) - 2004. 06. 25. 이용 아동 증가로 임대 확장 운영 - 2004. 08. 21. 희망지역아동센터 시설신교증 교부 - 2005. 12. 12. 희망지역아동센터 이전 확장 (광주광역시 남구 백운1동 80-1) - 2006. 09. 11. 시설 내 희망문고(작은도서관) 설립 - 2009. 08. 10. 이용 아동 증가로 정원변경 (49인 시설) - 2011. 07. ~ 2011. 12. 특수목적형 지역아동센터 사업 수행 - 2012. 03. ~ 2012. 12. 거점형 지역아동센터 사업 수행 - 2013. 01. ~ 2013. 12. 사회복지공동모금회 복권기금사업 [아동청소년 야간ㆍ토요보호사업] 수행 - 2014. 01. ~ 2017. ~ 특수목적형 지역아동센터 사업 수행 - 2014. 08. ~ 2015. 07. 사회복지공동모금회 복권기금사업 [아동청소년 야간보호사업] 수행 - 2015. 03. ~ 2016. 02. 광주백운초등학교 돌봄교실 위탁사업 수행 - 2016. 03. ~ 2017. 02. 광주대성초등학교 돌봄교실 위탁사업 수행 - 2018. 11 ~ 2019. 04 청년일경험 지원사업 수행 - 2019. 01 ~ 2019. 12 사회복지공동모금회 복권기금 [아동청소년 야간보호사업] 수행 중   	영 역 소주제 내 용 보호 프로그램 급식 지원 ㆍ매월 균형 및 열량에 따른 식단표 작성 위생 지도 ㆍ손 씻기, 소독하기 양치질하기 등 생활 지도 ㆍ예절교육, 인사지도, 일상생활 지도, 귀가지도 교육 프로그램 기초학습지도 ㆍ국어, 수학, 사회, 과학, 한자, 영어, 중국어, 원어민영어 등 예․체능 및 특별활동 ㆍ종이접기, 미술, 악기, 독서, 북아트, 전래놀이 등 문화 프로그램 문화 행사 ㆍ영화감상, 공연관람, 박물관․미술관 관람 등 야외체험활동 ㆍ캠프, 견학, 소풍, 자연체험 등 스포츠 활동 ㆍ축구, 야구, 족구, 발야구 등 체육 활동 아동자치활동 ㆍ정기 아동자치회의, 학생대표단 모임 공동체 활동 ㆍ시상식&생일파티 진행, 모둠별 활동 정서지원 프로그램 아동 관리 ㆍ초기면담, 아동개별상담, 정기상담 및 상시상담 부모상담 및 교육 ㆍ가정방문 및 부모교육․상담 실시, 가정통신문 발송 검사 및 치료 ㆍ심리검사 실시, 미술치료, 음악치료, 놀이치료 실시 결연후원 ㆍ아동의류, 물품지원, 푸드뱅크 및 후원단체 물품 나눔 지역자원연계 프로그램 학교와의 연계 ㆍ담임선생님 상담, 학교 선생님과의 연대 공공기관 네트워크 ㆍ남구청, 주민 센터, 각종 연합회와의 연계 치과치료/건강검진 ㆍ‘틔움키움 주치의 자매결연 사업’ : 치과, 병원 연계 지역사회봉사 ㆍ노인복지센터 봉사 활동 및 연계 수업 개설 운영위원회 ㆍ분기별 실시  
19	희망지역아동센터	광주광역시 북구 중흥로163번길 2 2층 희망지역아동센터 중흥동 (중흥동) 070-4235-7991 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 10:00 ~ 19:00 토요일 : 00:00 ~ 00:00	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
20	희망지역아동센터	부산광역시 사상구 사상로 275 (덕포동) 3층 051-304-5098 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 08:30 ~ 17:30 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
21	희망지역아동센터	부산광역시 중구 흑교로45번길 13 1층 (보수동3가) 051-243-0912 이용시간 학기중 : 11:00 ~ 20:00 방학중 : 11:00 ~ 20:00 토요일 : 00:00 ~ 00:00	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
22	희망지역아동센터	인천 남동구 소래로669번길 30 (만수동) 302호 희망지역아동센터 032-462-4203 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 10:00 ~ 19:00 토요일 : 10:00 ~ 19:00	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
23	희망지역아동센터	전남 장성군 장성읍 매화6길 13 070-7622-8734 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 10:00 ~ 19:00 토요일 : 00:00 ~ 00:00	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
24	희망지역아동센터	전라남도 화순군 부처샘길 5-5 ,1층 061-374-5356 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 10:00 ~ 19:00 토요일 : ~	저희 아이들의 문화체험 프로그램 모습입니다. 2018년 복권위원회와 전남사회복지 공동모금회 후원으로 "1박2일 신나는 여름캠프" 로 서울에 다녀왔습니다. 경복궁에서 우리나라의 역사에 대해 알아보는 귀중한 시간이었습니다.   (2019년 2박3일 제주도 캠프 사진입니다. 아이들이 처음으로 잠수함에 타보았다며 너무 신기해 하는 모습입니다)   (화순 금호 아쿠아나에서 신나게 물놀이를 즐기는 사진입니다. 스트레스 해소 짱! 이랍니다^^)  	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
25	희망지역아동센터	전북 남원시 동림로 33 (동충동) 3층 063-636-0334 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:00 ~ 18:00 토요일 : 09:00 ~ 13:00	전라북도 남원시 동충동에 위치한 희망지역아동센터 입니다. 희망지역아동센터는 방과후 돌봄이 필요한 아동에게 교육자료와 함께 예, 체능 활동 견학, 캠프, 공동체놀이등의 문화활동과 상담, 지역연계 활동등의 다양한 서비스 제공으로 아동의 인성과 지적성장을 도와주는 기관입니다. 학부모가 안심하고 자녀를 맡길 수 있는 가정의 역활과 기능을 보완하여 아동이 가정, 학교, 사회구성원으로 건강하게 성장 할 수 있도록 돕고 나를 사랑할 줄 알고 함께 즐기며 나눔늘 실천 할 수 있는 아이들로 성장하길 적극 지원하고 있습니다.   	춘향제 ! 봄날, 꿈같은 축제~~~   
26	희망지역아동센터	전라북도 전주시 완산구 효자동1가 (효자동1가) 070-8210-0928 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:00 ~ 18:00 토요일 : 09:30 ~ 14:30	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
27	희망지역아동센터	전라북도 정읍시 벚꽃로 542 2층(상동) 063-533-5679 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:00 ~ 18:00 토요일 : ~		난타,음악,댄스,집단미술,레크체육,짐볼,판소리,생활과학 
28	희망지역아동센터	충청남도 논산시 동안로888번길 12 희망지역아동센터 041-742-1061 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:00 ~ 18:00 토요일 : 09:00 ~ 16:00		
29	희망지역아동센터	충청북도 청주시 상당구 상당구 호미로167번길 41 2층 용암동 (용암동,JTI) 043-294-7077 이용시간 학기중 : 11:00 ~ 19:00 방학중 : 11:00 ~ 19:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
30	희망지역아동센터	충청북도 충주시 지현동 070-7074-4418 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:00 ~ 18:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
31	희망지역아동센터	대구광역시 서구 국채보상로36길 26 중리동 (중리동) 053-556-3032 이용시간 학기중 : 10:00 ~ 20:00 방학중 : 10:00 ~ 19:00 토요일 : ~	희망지역아동센터는 서대구 공단과 인접하고 주택밀집지역으로 주변 지역인 아파트에 비해 소외 계층이 많은 지역입니다. 소득, 학력, 문화 수준의 격차가 주변 대단지 아파트에 비해 갈수록 격차가 심해지고, 소외계층 아동들의 상대적 빈곤감은 높은 편이며, 이혼, 가정해체로 한 부모, 조손가정, 다문화 가정이 많은 편입니다. 한창 밝게 자라야 할 아동들의 권리를 우선적으로 생각하고, 이런 아동들에 대한 지역사회의 보호와 관심이 절실히 필요하므로 본 센터는 소외계층 아동들에게 보호와 교육, 문화, 정서지원, 지역사회 연계 프로그램을 실시하여 건강하고 행복한 아동으로 성장할 수 있도록 조력자 역할을 감당할 것이며, 미래에 대해 비젼을 꿈꾸며 설계할 수 있는 사람으로 성장 할 수 있도록 주춧돌 역할을 하고자 합니다. 오로지 학습 제일의 우선 원칙이 아니라 자신의 꿈을 찾고 미래에 무엇을 하고 싶은지에 대해 확신을 가질 수 있는 곳으로 아이들이 행복하고 즐거운 곳입니다.  	아동권리 교육, 5대 안전교육, 독서, 행복한 요리, 문화체험, 사례관리, 정서지원 등등....  
32	희망지역아동센터	강원도 철원군 태봉로 2349 033-455-3371 이용시간 학기중 : 13:00 ~ 21:00 방학중 : 10:00 ~ 18:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
33	희망지역아동센터	전라남도 함평군 밀재로 1561 2층 1호 061-324-2167 이용시간 학기중 : 10:30 ~ 19:30 방학중 : 10:00 ~ 19:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
34	희망주는지역아동센터	부산광역시 사하구 동매로 161-0 , 2층 당리동 051-294-9000 이용시간 학기중 : ~ 방학중 : ~ 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
35	희망의집지역아동센터	서울특별시 강북구 삼양로 280-1 강북노인회관 2층 (미아동) 02-981-4422 이용시간 학기중 : 12:00 ~ 21:00 방학중 : 10:00 ~ 19:00 토요일 : ~ 09145023	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
36	희망아카데미지역아동센터	경기도 안산시 상록구 상록구 초당로 30, 2층 (사동) (사동)2층 031-407-2644 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 10:00 ~ 19:00 토요일 : 00:00 ~ 00:00		
37	희망아동센터	강원도 홍천군 희망로13길 14-0 홍천읍 비전센터 1층 희망아동센터 033-434-9004 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:00 ~ 18:00 토요일 : ~	희망아동센터는 수급자, 차상위, 한부모등 방과후 보호가 필요한 가정의 아동들에게 보호와 놀이, 교육, 문화와 복지등 종합적인 아동복지서비스를 제공 합니다.  아동들에게 꿈을 갖고 도전하면 반드시 이루어 진다는 도전정신을 심어 주고, 자존감을 갖고, 또래간 협력의 중요성을 익혀 사회성을 향상시킬 수 있도록 합니다.        희망 히스토리 2006. 03. 30 희망아동센터 개원 2011. 11. 24 강원문화재단 프로그램-발레공연 연계 2012. 01. 01 보건복지부에서 거점지원아동센터 지정 2012. 01. 30 사회복지법인 강원다문화가족지원사업단 프로그램 참여 2012. 03. 01 삼성꿈장학재단 배움터 교육지원사업 지정(1차년도) 2013. 01. 01 보건복지부에서 거점지원아동센터 지정 2013. 03. 01 삼성꿈장학재단 배움터 교육지원사업 지정(2차년도: 5개 기관 컨소시엄) 2013. 04. 16 홍천군건강증진센터와 업무협약 2013. 04. 24 홍천군보건소와 업무협약 2013. 09. 26 홍천군청소년수련관과 업무협약 2013. 09. 26 홍천군청소년 상담센터와 업무협약 2014. 03. 01 삼성꿈장학재단 배움터교육지원사업 지정(3차년도 : 6개 기관 컨소시엄) 2014. 03. 03 석화초등학교와 저녁돌봄위탁계약 2015. 03. 24 홍천군종합복지문화센터와 업무협약 2016. 03. 02 홍천군청소년수련관 꿈이음(1) 프로그램 참여 2017. 03. 02 홍천군청소년수련관 꿈이음(2) 프로그램-로봇과학·농구교실 참여 2017. 04. 17 (주)팡타스틱 프로그램-난타 연계 2017. 09. 14 홍천군국민체육센터 프로그램-클라이밍 연계 2017. 10. 20 홍천군다문화가족지원센터 프로그램-요리실습 연계 2018. 03. 02 홍천군청소년수련관 꿈이음(3) 프로그램 참여 	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
38	희망신나는집문화학교	서울 관악구 중앙길 75 (봉천동) 02-876-3518 이용시간 학기중 : 12:00 ~ 20:00 방학중 : 11:00 ~ 19:00 토요일 : 10:00 ~ 15:00	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
39	희망스쿨지역아동센터	부산광역시 해운대구 아랫반송로29번길 25 ,29 (3,4층) (반송동) 051-542-3332 이용시간 학기중 : 13:00 ~ 22:00 방학중 : 13:00 ~ 22:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
40	희망세움지역아동센터	경기도 안양시 동안구 동안구 엘에스로 45 대영골든타워 210호 호계동 031-427-7525 이용시간 학기중 : 10:00 ~ 22:00 방학중 : 10:00 ~ 22:00 토요일 : 10:00 ~ 14:00	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
41	희망샘지역아동센터	경상북도 안동시 옥명길 89 2층 (태화동) 054-853-0421 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:00 ~ 18:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
42	희망샘지역아동센터	서울특별시 광진구 긴고랑로 137 중곡동 070-4138-0060 이용시간 학기중 : 12:00 ~ 21:00 방학중 : 12:00 ~ 21:00 토요일 : ~	운영동기 및 목적  중곡동교회는 중곡동지역이 긴고랑로를 따라 계곡으로 올라가는 주택지가 대부분 달동네이므로 환경적으로 경제적으로 매우 열악한 것을 깨닫고 3층짜리 건물을 제공하여 공부방을 시작하였다. 그러다가 시설을 보안하여 지역아동센터로 개설하였고 이지역 지역사회 내 보호를 필요로 하는 만18세 미만 아동을 대상으로 다양한 보호, 교육, 문화, 복지서비스를 제공함으로써, 아동의 건전한 사회적?정서적 발달을 도모하고, 학업성취 능력을 향상시키며, 지역사회 내 건강한 사회 구성원으로 성장할 수 있도록 지원한다.     기관소개  광진구의 월 평균 가구소득은 구의. 광장권은 비교적 높은 수준이고 중곡권은 매우 낮은 편이다. 중곡동은 1960~1970년대 산업화 과정에서 형성된 달동네로 용마산 기슭에 위치하여 녹지가 풍부하나 일부 지역은 그린벨트로 지정되어 노후주 택이 밀집되어 있다. 그러므로 지역사회 내 보호를 필요로 하는 아동의 수가 타 지역에 비해 상대적으로 많은편이다. 따라서, 다수의 아동들에 대한 보호와 복지서비스의 제공이 요구된다. 이에 희망샘지역아동센터는 지역사회 아동에 대한 보호와 다양한 교육?문화?복지 서비스 제공을 통해 아동들이 건강하고 안전하게 성장할 수 있도록 지원한다. 	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
43	희망드림지역아동센터	서울특별시 도봉구 도봉로 110아길 12 (창동) 2층 02-900-9313 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:00 ~ 18:00 토요일 : 00:00 ~ 00:00	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
44	희망둥지지역아동센터	강원도 태백시 서황지로2길 12 황지중앙교회 사회봉사관 (황지동) 033-553-7979 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:00 ~ 18:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
45	희망누리지역아동센터	전라남도 목포시 관해로 28 관해마을회관 2층 용해동 070-8803-0079 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:00 ~ 18:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
46	희망남구지역아동센터	인천 미추홀구 숙골로38번길 1 (도화동,석골빌딩) 2층 032-876-7779 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 10:00 ~ 19:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
47	희망나무지역아동센터	강원도 강릉시 성덕포남로174번길 44 2층 (포남동) 033-653-3227 이용시간 학기중 : 10:00 ~ 20:00 방학중 : 10:00 ~ 19:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
48	희망나무지역아동센터	경기도 안양시 동안구 동안구 경수대로 472 영풍상가 215호 031-427-7175 이용시간 학기중 : 10:00 ~ 20:30 방학중 : 10:00 ~ 20:30 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
49	희망나무지역아동센터	경상북도 구미시 원남로1길 56 원남로1길56 201호 (원평동) 054-453-2112 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:30 ~ 18:30 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
50	희망나무	충청북도 청주시 청원구 1순환로296번길 30 3층 (내덕동) 043-221-4376 이용시간 학기중 : 00:00 ~ 23:30 방학중 : 00:00 ~ 23:30 토요일 : 00:00 ~ 23:30	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
51	희망나눔지역아동센터	광주 광산구 월곡반월로 26 (월곡동) 062-413-3425 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 10:00 ~ 18:00 토요일 : 00:00 ~ 00:00	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
52	희망나눔지역아동센터	대구광역시 달성군 논공로 697-9 070-4088-1215 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 10:00 ~ 19:00 토요일 : ~	희망나눔지역아동센터는 달성군 논공읍에 위치하였으며, 센터를 이용하는 아동중에는 다문화가정의 아동들이 많습니다. 하지만, 밝고 씩씩하게 생활하면서 모든 사람들과 희망을 나눌 수 있는 건강한 사회구성원이 되기 위해 열심히 노력하는 아동들입니다.    우리들을 사랑하고 건강하게 자라도록 돌봐주시는 부모님께 편지쓰기   어린이날을 맞이하여 친구들과 재미있는 영화관람을 하였답니다. 일년내내 어린이날이었으면 좋겠지요!!!    스머프 3D - 비밀의 숲 관람을 기다리며 즐거운 어린이날이 되었기를 바랍니다. 	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
53	희망나눔지역아동센터	충청남도 부여군 부여읍 금성로 25, 3층 3층 041-834-8447 이용시간 학기중 : 10:30 ~ 19:30 방학중 : 09:00 ~ 18:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
